key,en-US,zh-CN,ja-JP,notes
app.title,Srlily Updater Test,Srlily 更新测试,Srlily アップデートテスト,Main window title
app.description,Sample app for updater testing,更新测试示例应用,更新テスト用サンプル,Subtitle
nav.overview,Overview,概览,概要,Tab label
nav.files,Files,文件清单,ファイル,Tab label
nav.locale,Locales,本地化,ロケール,Tab label
nav.config,Config,配置,設定,Tab label
status.ready,Ready,就绪,準備完了,Status bar
status.running,Running,运行中,実行中,Status bar
update.check,Check for updates,检查更新,更新を確認,Button
update.download,Downloading,下载中,ダウンロード中,Progress
update.install,Installing,安装中,インストール中,Progress
update.done,Update complete,更新完成,更新完了,Progress
update.failed,Update failed,更新失败,更新失敗,Error
msg.dont_close,Do not force-close during update,更新中请勿强制关闭,更新中は強制終了しないでください,Warning
action.ok,OK,确定,OK,Button
action.cancel,Cancel,取消,キャンセル,Button
action.retry,Retry,重试,再試行,Button
action.open_folder,Open install folder,打开安装目录,インストール先を開く,Button
channel.stable,Stable,稳定通道,安定版,Badge
channel.beta,Beta,测试通道,ベータ,Badge
